claim_id,case_created_date,claim_submission_channel,claim_language,policy_id_provided,customer_id_provided,claimed_device_identifier,reported_incident_date,claim_category_selected,requested_service_type,evidence_bundle_id,customer_statement,intake_record_status,record_snapshot_date
CLM-000001,2025-07-14,CONTACT_CENTER,EN,POL-00018,CUS-0033,DVC-00000018,2025-07-14,SCREEN_DAMAGE,REPAIR,EBND-000001,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. The device reference is DVC-00000018.,SUBMITTED,2026-06-23
CLM-000002,2024-12-31,WEB_PORTAL,EN,POL-00054,CUS-0013,DVC-00000054,2024-12-23,SCREEN_DAMAGE,UNSPECIFIED,EBND-000002,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000003,2025-04-04,WEB_PORTAL,EN,POL-00079,CUS-0003,DVC-00000079,2025-04-01,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000003,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working.,SUBMITTED,2026-06-23
CLM-000004,2024-11-08,WEB_PORTAL,EN,POL-00005,CUS-0006,DVC-00000005,2024-11-03,MECHANICAL_BREAKDOWN,REPAIR,EBND-000004,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. The device reference is DVC-00000005.,SUBMITTED,2026-06-23
CLM-000005,2025-04-30,WEB_PORTAL,EN,POL-00117,CUS-0093,DVC-00000117,2025-04-22,SCREEN_DAMAGE,UNSPECIFIED,EBND-000005,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000006,2025-08-09,CONTACT_CENTER,EN,POL-00094,CUS-0081,DVC-00000094,2025-08-01,SCREEN_DAMAGE,REPAIR,EBND-000006,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000007,2025-03-15,CONTACT_CENTER,EN,POL-00005,CUS-0006,DVC-00000005,2025-03-07,ACCIDENTAL_DAMAGE,REPAIR,EBND-000007,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair. The device reference is DVC-00000005.,SUBMITTED,2026-06-23
CLM-000008,2025-11-02,MOBILE_APP,EN,POL-00092,CUS-0082,DVC-00000092,2025-10-28,SCREEN_DAMAGE,REPAIR,EBND-000008,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000009,2025-10-12,MOBILE_APP,EN,POL-00092,CUS-0082,DVC-00000092,2025-10-12,MECHANICAL_BREAKDOWN,REPAIR,EBND-000009,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue.,SUBMITTED,2026-06-23
CLM-000010,2025-04-24,CONTACT_CENTER,EN,POL-00117,CUS-0093,DVC-00000117,2025-04-18,MECHANICAL_BREAKDOWN,REPAIR,EBND-000010,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. The device reference is DVC-00000117.,SUBMITTED,2026-06-23
CLM-000011,2026-06-22,WEB_PORTAL,EN,POL-00061,CUS-0100,DVC-00000061,2026-06-16,LIQUID_DAMAGE,UNSPECIFIED,EBND-000011,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000012,2026-06-18,MOBILE_APP,EN,POL-00104,CUS-0021,DVC-00000104,2026-06-10,SCREEN_DAMAGE,UNSPECIFIED,EBND-000012,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000013,2026-01-11,CONTACT_CENTER,EN,POL-00014,CUS-0025,DVC-00000014,2026-01-08,SCREEN_DAMAGE,UNSPECIFIED,EBND-000013,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. The device reference is DVC-00000014.",SUBMITTED,2026-06-23
CLM-000014,2026-01-19,CONTACT_CENTER,EN,POL-00033,CUS-0041,DVC-00000033,2026-01-17,SCREEN_DAMAGE,REPAIR,EBND-000014,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000015,2026-04-25,MOBILE_APP,EN,POL-00015,CUS-0054,DVC-00000015,2026-04-25,THEFT,REPLACEMENT,EBND-000015,My phone was stolen while I was travelling. Please advise how to submit a claim for the covered device. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000016,2026-01-16,CONTACT_CENTER,EN,POL-00058,CUS-0071,DVC-00000058,2026-01-08,ACCIDENTAL_DAMAGE,REPLACEMENT,EBND-000016,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request. The device reference is DVC-00000058.,SUBMITTED,2026-06-23
CLM-000017,2026-06-17,MOBILE_APP,EN,POL-00063,CUS-0064,DVC-00000063,2026-06-16,SCREEN_DAMAGE,UNSPECIFIED,EBND-000017,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000018,2026-06-22,MOBILE_APP,EN,POL-00071,CUS-0072,DVC-00000071,2026-06-22,SCREEN_DAMAGE,REPAIR,EBND-000018,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000019,2025-12-15,CONTACT_CENTER,EN,POL-00037,CUS-0036,DVC-00000037,2025-12-10,SCREEN_DAMAGE,UNSPECIFIED,EBND-000019,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. The device reference is DVC-00000037.",SUBMITTED,2026-06-23
CLM-000020,2026-02-15,MOBILE_APP,EN,POL-00051,CUS-0089,DVC-00000051,2026-02-14,SCREEN_DAMAGE,UNSPECIFIED,EBND-000020,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired.,SUBMITTED,2026-06-23
CLM-000021,2025-12-22,MOBILE_APP,EN,POL-00113,CUS-0069,DVC-00000113,2025-12-22,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000021,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair.,SUBMITTED,2026-06-23
CLM-000022,2026-04-20,CONTACT_CENTER,EN,POL-00051,CUS-0089,DVC-00000051,2026-04-17,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000022,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request. The device reference is DVC-00000051.,SUBMITTED,2026-06-23
CLM-000023,2026-04-06,WEB_PORTAL,EN,POL-00101,CUS-0060,DVC-00000101,2026-04-01,SCREEN_DAMAGE,REPAIR,EBND-000023,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000024,2026-05-03,CONTACT_CENTER,EN,POL-00053,CUS-0046,DVC-00000053,2026-05-01,MECHANICAL_BREAKDOWN,REPAIR,EBND-000024,The phone's power button and charging function stopped working during normal use. I would like a repair assessment.,SUBMITTED,2026-06-23
CLM-000025,2026-06-12,WEB_PORTAL,EN,POL-00059,CUS-0095,DVC-00000059,2026-06-12,SCREEN_DAMAGE,REPAIR,EBND-000025,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. The device reference is DVC-00000059.,SUBMITTED,2026-06-23
CLM-000026,2026-06-22,CONTACT_CENTER,EN,POL-00059,CUS-0095,DVC-00000059,2026-06-22,SCREEN_DAMAGE,UNSPECIFIED,EBND-000026,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000027,2026-06-20,WEB_PORTAL,EN,POL-00059,CUS-0095,DVC-00000059,2026-06-18,SCREEN_DAMAGE,UNSPECIFIED,EBND-000027,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000028,2026-04-18,WEB_PORTAL,EN,POL-00016,CUS-0087,DVC-00000016,2026-04-17,ACCIDENTAL_DAMAGE,REPLACEMENT,EBND-000028,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request. The device reference is DVC-00000016.,SUBMITTED,2026-06-23
CLM-000029,2026-06-08,CONTACT_CENTER,EN,POL-00056,CUS-0092,DVC-00000056,2026-06-03,ACCIDENTAL_DAMAGE,REPAIR,EBND-000029,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request.,SUBMITTED,2026-06-23
CLM-000030,2026-06-12,CONTACT_CENTER,EN,POL-00070,CUS-0080,DVC-00000070,2026-06-08,ACCIDENTAL_DAMAGE,REPAIR,EBND-000030,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working.,SUBMITTED,2026-06-23
CLM-000031,2025-12-23,WEB_PORTAL,EN,POL-00025,CUS-0067,DVC-00000025,2025-12-17,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000031,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. The device reference is DVC-00000025.,SUBMITTED,2026-06-23
CLM-000032,2025-12-19,CONTACT_CENTER,EN,POL-00100,CUS-0018,DVC-00000100,2025-12-15,MECHANICAL_BREAKDOWN,REPAIR,EBND-000032,The phone's power button and charging function stopped working during normal use. I would like a repair assessment.,SUBMITTED,2026-06-23
CLM-000033,2025-09-06,WEB_PORTAL,EN,POL-00072,CUS-0011,DVC-00000072,2025-09-03,SCREEN_DAMAGE,UNSPECIFIED,EBND-000033,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000034,2026-06-22,WEB_PORTAL,EN,POL-00039,CUS-0033,DVC-00000039,2026-06-22,LIQUID_DAMAGE,UNSPECIFIED,EBND-000034,The phone got wet during a rain shower. It now powers on intermittently and I would like to submit a claim. The device reference is DVC-00000039.,SUBMITTED,2026-06-23
CLM-000035,2026-06-20,CONTACT_CENTER,EN,POL-00020,CUS-0007,DVC-00000020,2026-06-16,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000035,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue.,SUBMITTED,2026-06-23
CLM-000036,2025-07-17,CONTACT_CENTER,EN,POL-00036,CUS-0057,DVC-00000036,2025-07-09,ACCIDENTAL_DAMAGE,REPAIR,EBND-000036,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair.,SUBMITTED,2026-06-23
CLM-000037,2026-05-16,WEB_PORTAL,EN,POL-00031,CUS-0020,DVC-00000031,2026-05-13,ACCIDENTAL_DAMAGE,REPLACEMENT,EBND-000037,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair. The device reference is DVC-00000031.,SUBMITTED,2026-06-23
CLM-000038,2026-06-22,MOBILE_APP,EN,POL-00070,CUS-0080,DVC-00000070,2026-06-20,LIQUID_DAMAGE,REPAIR,EBND-000038,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment.,SUBMITTED,2026-06-23
CLM-000039,2025-09-23,MOBILE_APP,EN,POL-00025,CUS-0067,DVC-00000025,2025-09-16,MECHANICAL_BREAKDOWN,REPAIR,EBND-000039,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure.,SUBMITTED,2026-06-23
CLM-000040,2026-02-28,WEB_PORTAL,EN,POL-00108,CUS-0044,DVC-00000108,2026-02-25,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000040,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. The device reference is DVC-00000108.,SUBMITTED,2026-06-23
CLM-000041,2026-02-17,CONTACT_CENTER,EN,POL-00052,CUS-0050,DVC-00000052,2026-02-16,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000041,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working.,SUBMITTED,2026-06-23
CLM-000042,2026-06-10,MOBILE_APP,EN,POL-00001,CUS-0055,DVC-00000001,2026-06-10,SCREEN_DAMAGE,UNSPECIFIED,EBND-000042,"My phone slipped from my hand and the screen cracked. The display is still on, but there are visible cracks across the front.",SUBMITTED,2026-06-23
CLM-000043,2026-05-27,MOBILE_APP,EN,POL-00035,CUS-0037,DVC-00000035,2026-05-26,LIQUID_DAMAGE,REPLACEMENT,EBND-000043,The phone got wet during a rain shower. It now powers on intermittently and I would like to submit a claim. The device reference is DVC-00000035. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000044,2026-06-16,CONTACT_CENTER,EN,POL-00082,CUS-0077,DVC-00000082,2026-06-09,LIQUID_DAMAGE,REPAIR,EBND-000044,I spilled a drink near the device and it stopped working normally afterward. The screen flickers and the speaker sounds distorted.,SUBMITTED,2026-06-23
CLM-000045,2026-05-14,WEB_PORTAL,EN,POL-00099,CUS-0034,DVC-00000099,2026-05-06,SCREEN_DAMAGE,UNSPECIFIED,EBND-000045,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000046,2025-11-17,WEB_PORTAL,EN,POL-00058,CUS-0071,DVC-00000058,2025-11-12,ACCIDENTAL_DAMAGE,REPAIR,EBND-000046,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request. The device reference is DVC-00000058.,SUBMITTED,2026-06-23
CLM-000047,2026-06-22,CONTACT_CENTER,EN,POL-00039,CUS-0033,DVC-00000039,2026-06-22,LIQUID_DAMAGE,REPAIR,EBND-000047,The phone got wet during a rain shower. It now powers on intermittently and I would like to submit a claim. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000048,2026-06-13,MOBILE_APP,EN,POL-00020,CUS-0007,DVC-00000020,2026-06-12,LIQUID_DAMAGE,REPLACEMENT,EBND-000048,The phone got wet during a rain shower. It now powers on intermittently and I would like to submit a claim.,SUBMITTED,2026-06-23
CLM-000049,2025-11-24,MOBILE_APP,EN,POL-00099,CUS-0034,DVC-00000099,2025-11-20,MECHANICAL_BREAKDOWN,REPAIR,EBND-000049,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. The device reference is DVC-00000099.,SUBMITTED,2026-06-23
CLM-000050,2026-03-05,MOBILE_APP,EN,POL-00051,CUS-0089,DVC-00000051,2026-02-27,LIQUID_DAMAGE,REPAIR,EBND-000050,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment.,SUBMITTED,2026-06-23
CLM-000051,2026-02-21,MOBILE_APP,EN,POL-00016,CUS-0087,DVC-00000016,2026-02-18,THEFT,REPLACEMENT,EBND-000051,My phone was stolen while I was travelling. Please advise how to submit a claim for the covered device. I have included the supporting documents available to me.,SUBMITTED,2026-06-23
CLM-000052,2026-06-07,MOBILE_APP,EN,POL-00044,CUS-0074,DVC-00000044,2026-05-31,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000052,My phone fell onto a hard surface and the rear glass and frame were damaged. I need it assessed for repair. The device reference is DVC-00000044.,SUBMITTED,2026-06-23
CLM-000053,2026-05-24,MOBILE_APP,EN,POL-00035,CUS-0037,DVC-00000035,2026-05-22,SCREEN_DAMAGE,REPAIR,EBND-000053,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading.",SUBMITTED,2026-06-23
CLM-000071,2026-06-17,MOBILE_APP,EN,POL-00045,CUS-0062,DVC-00000045,,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000071,The phone's power button and charging function stopped working I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000072,2026-01-16,CONTACT_CENTER,EN,POL-00100,CUS-0018,DVC-00000100,,MECHANICAL_BREAKDOWN,REPAIR,EBND-000072,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000073,2026-05-12,MOBILE_APP,EN,POL-00021,CUS-0050,DVC-00000021,,SCREEN_DAMAGE,REPAIR,EBND-000073,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. I am unable to confirm the exact date when it happened.",SUBMITTED,2026-06-23
CLM-000074,2026-01-11,CONTACT_CENTER,EN,POL-00037,CUS-0036,DVC-00000037,,SCREEN_DAMAGE,UNSPECIFIED,EBND-000074,My phone slipped from my hand and the screen cracked. The display is still I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000075,2025-09-15,WEB_PORTAL,EN,POL-00105,CUS-0056,DVC-00000105,,LIQUID_DAMAGE,UNSPECIFIED,EBND-000075,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000076,2026-05-24,CONTACT_CENTER,EN,POL-00034,CUS-0081,DVC-00000034,,MECHANICAL_BREAKDOWN,REPAIR,EBND-000076,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000077,2026-04-06,MOBILE_APP,EN,POL-00085,CUS-0070,DVC-00000085,,SCREEN_DAMAGE,REPAIR,EBND-000077,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. I am unable to confirm the exact date when it happened.",SUBMITTED,2026-06-23
CLM-000078,2026-02-11,CONTACT_CENTER,EN,POL-00090,CUS-0078,DVC-00000090,,SCREEN_DAMAGE,REPAIR,EBND-000078,My phone slipped from my hand and the screen cracked. The display is still I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000079,2026-03-28,WEB_PORTAL,EN,POL-00056,CUS-0092,DVC-00000056,,ACCIDENTAL_DAMAGE,REPAIR,EBND-000079,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000080,2026-06-22,CONTACT_CENTER,EN,POL-00037,CUS-0036,DVC-00000037,,SCREEN_DAMAGE,REPAIR,EBND-000080,I dropped the phone while getting out of my car and the screen is badly cracked. Please help; I would like help getting it repaired. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000081,2026-03-13,MOBILE_APP,EN,POL-00051,CUS-0089,DVC-00000051,,ACCIDENTAL_DAMAGE,REPAIR,EBND-000081,The device was accidentally dropped and now the casing is bent and the camera area is damaged. Please help with a repair request. I am unable to confirm the exact date when it happened.,SUBMITTED,2026-06-23
CLM-000086,2026-06-10,CONTACT_CENTER,EN,POL-00038,CUS-0007,DVC-00000038,2026-06-05,UNSPECIFIED,UNSPECIFIED,EBND-000086,My registered phone is not working properly after an incident. It needs to be assessed and I am not sure which claim option to choose.,SUBMITTED,2026-06-23
CLM-000087,2025-08-03,WEB_PORTAL,EN,POL-00105,CUS-0056,DVC-00000105,2025-08-02,UNSPECIFIED,UNSPECIFIED,EBND-000087,My registered phone is not working properly after an incident. It needs to be assessed and I am not sure which claim option to choose.,SUBMITTED,2026-06-23
CLM-000088,2026-05-18,MOBILE_APP,EN,POL-00031,CUS-0020,DVC-00000031,2026-05-12,UNSPECIFIED,UNSPECIFIED,EBND-000088,"I need help with my phone. Something happened to it and it now has several issues, but I do not know how to classify the problem.",SUBMITTED,2026-06-23
CLM-000089,2026-04-22,CONTACT_CENTER,EN,POL-00051,CUS-0089,DVC-00000051,2026-04-18,UNSPECIFIED,UNSPECIFIED,EBND-000089,"I need help with my phone. Something happened to it and it now has several issues, but I do not know how to classify the problem.",SUBMITTED,2026-06-23
CLM-000090,2026-01-21,MOBILE_APP,EN,POL-00037,CUS-0036,DVC-00000037,2026-01-20,UNSPECIFIED,UNSPECIFIED,EBND-000090,The device has been damaged and is difficult to use. Please tell me what information you need to start a claim.,SUBMITTED,2026-06-23
CLM-000091,2026-06-12,MOBILE_APP,EN,POL-00061,CUS-0100,DVC-00000061,2026-06-12,UNSPECIFIED,UNSPECIFIED,EBND-000091,"I need help with my phone. Something happened to it and it now has several issues, but I do not know how to classify the problem.",SUBMITTED,2026-06-23
CLM-000092,2025-08-27,WEB_PORTAL,EN,POL-00116,CUS-0015,DVC-00000116,2025-08-25,UNSPECIFIED,UNSPECIFIED,EBND-000092,The device has been damaged and is difficult to use. Please tell me what information you need to start a claim.,SUBMITTED,2026-06-23
CLM-000093,2026-05-29,CONTACT_CENTER,EN,POL-00035,CUS-0037,DVC-00000035,2026-05-24,UNSPECIFIED,UNSPECIFIED,EBND-000093,My registered phone is not working properly after an incident. It needs to be assessed and I am not sure which claim option to choose.,SUBMITTED,2026-06-23
CLM-000094,2026-02-13,MOBILE_APP,EN,POL-00047,CUS-0029,DVC-00000047,2026-02-05,UNSPECIFIED,UNSPECIFIED,EBND-000094,The device has been damaged and is difficult to use. Please tell me what information you need to start a claim.,SUBMITTED,2026-06-23
CLM-000098,2026-06-22,CONTACT_CENTER,EN,POL-00051,CUS-0089,,2026-06-20,SCREEN_DAMAGE,REPAIR,EBND-000098,"The phone fell from a table and the front glass is damaged. Touch still works in some areas, but the cracks are spreading. I do not have the device identifier with me right now.",SUBMITTED,2026-06-23
CLM-000099,2026-05-09,MOBILE_APP,EN,POL-00015,CUS-0054,,2026-05-04,LIQUID_DAMAGE,UNSPECIFIED,EBND-000099,The phone got wet during a rain shower. It now powers on intermittently and I would like to submit a claim. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000100,2026-03-29,WEB_PORTAL,EN,POL-00038,CUS-0007,,2026-03-22,MECHANICAL_BREAKDOWN,UNSPECIFIED,EBND-000100,My phone has started shutting down unexpectedly and will not hold a charge. There was no drop or liquid exposure. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000101,2026-05-28,WEB_PORTAL,EN,POL-00031,CUS-0020,,2026-05-24,MECHANICAL_BREAKDOWN,REPAIR,EBND-000101,The phone's power button and charging function stopped working during normal use. I would like a repair assessment. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000102,2025-09-13,MOBILE_APP,EN,POL-00043,CUS-0016,,2025-09-11,ACCIDENTAL_DAMAGE,UNSPECIFIED,EBND-000102,I knocked my phone off the counter. The back panel is cracked and one of the side buttons is no longer working. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000103,2026-06-19,CONTACT_CENTER,EN,POL-00114,CUS-0009,,2026-06-16,LIQUID_DAMAGE,REPAIR,EBND-000103,My phone was exposed to water and it has not been charging properly since then. I am requesting a damage assessment. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000104,2026-02-11,MOBILE_APP,EN,POL-00108,CUS-0044,,2026-02-06,MECHANICAL_BREAKDOWN,REPAIR,EBND-000104,The device is no longer charging reliably and the battery drains very quickly. I need it checked for a mechanical issue. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000105,2026-06-01,WEB_PORTAL,EN,POL-00106,CUS-0038,,2026-05-24,SCREEN_DAMAGE,UNSPECIFIED,EBND-000105,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. I do not have the device identifier with me right now.,SUBMITTED,2026-06-23
CLM-000109,2026-04-09,CONTACT_CENTER,EN,,CUS-0054,,2026-04-08,SCREEN_DAMAGE,UNSPECIFIED,EBND-000109,I dropped the phone while getting out of my car and the screen is badly cracked. I would like help getting it repaired. I cannot find my plan or device reference at the moment.,SUBMITTED,2026-06-23
