question_id,question_name,trigger_type,trigger_condition,source_rule_id,decision_stage,applicable_claim_categories,evidence_profile_id,response_field,response_format,question_priority,customer_facing_question,plain_language_reason,agent_handling_after_response,max_repeats,active_flag
FUP-001,Confirm policy or customer reference,MISSING_FIELD,"No unique policy eligibility record can be found because both policy_id and customer_id are absent, invalid, or unusable.",DATA-001,ELIGIBILITY_FACTS,ALL,N/A,policy_or_customer_reference,TEXT,10,Please provide your policy reference or customer reference so we can locate the relevant protection plan.,This helps us identify the protection plan linked to the claim.,"Re-run policy lookup. If multiple authoritative matches or source conflicts remain, route to MANUAL_REVIEW; do not ask the customer to resolve an internal system conflict.",1,Yes
FUP-002,Confirm incident date,MISSING_OR_INVALID_FIELD,"Reported incident date is missing, ambiguous, malformed, or future-dated relative to claim intake.",ELG-001,ELIGIBILITY_FACTS,ALL,N/A,reported_incident_date,DATE_YYYY_MM_DD,20,Please confirm the date on which the incident occurred.,We need the incident date to continue assessing the claim under the policy period.,Validate the date and re-run policy-active-on-incident-date checks. Do not estimate the date from narrative wording alone.,1,Yes
FUP-003,Provide claimed device identifier,MISSING_OR_INVALID_FIELD,"Claimed device identifier is missing, malformed, or not usable for matching.",DEV-001,ELIGIBILITY_FACTS,ALL,N/A,claimed_device_identifier,TEXT,30,Please provide the IMEI or serial number for the device involved in the claim.,This helps us confirm the covered-device details.,"Re-run device match. An unresolved mismatch is an internal review scenario, not a reason to ask the customer to decide which record is correct.",1,Yes
FUP-004,Clarify incident category,MISSING_OR_AMBIGUOUS_FIELD,Claim category is UNSPECIFIED or cannot be reliably identified from the structured intake and narrative.,CLM-001,ELIGIBILITY_FACTS,UNSPECIFIED,N/A,claim_category_selected,ENUM_OR_FREE_TEXT,40,"Please describe what happened to the device and the issue you are experiencing, such as a cracked screen, other physical damage, liquid exposure, a mechanical malfunction, theft, or another type of incident.",We need to understand the type of incident before we can assess the claim.,"Classify only when the response is sufficiently clear. If the response remains ambiguous after one follow-up, route to MANUAL_REVIEW rather than guessing.",1,Yes
FUP-005,Upload screen-damage photo,MISSING_REQUIRED_EVIDENCE,Required DAMAGE_PHOTO is absent for SCREEN_DAMAGE under evidence profile EVD-SCREEN-01.,EVD-001,REQUIRED_EVIDENCE,SCREEN_DAMAGE,EVD-SCREEN-01,DAMAGE_PHOTO,FILE_UPLOAD,50,Please upload a clear photo showing the reported screen damage.,The image helps us confirm the visible screen damage reported in the claim.,"Check for a readable, relevant photo. A repair quote may be considered if supplied but is optional in v1.",1,Yes
FUP-006,Re-upload readable screen-damage photo,UNREADABLE_OR_INVALID_EVIDENCE,"Submitted DAMAGE_PHOTO for SCREEN_DAMAGE is marked unreadable, incomplete, or invalid without a material contradiction.",EVD-001,REQUIRED_EVIDENCE,SCREEN_DAMAGE,EVD-SCREEN-01,DAMAGE_PHOTO,FILE_UPLOAD,50,"The uploaded image could not be read clearly. Please upload a complete, clear photo showing the reported screen damage.",We need a readable image to continue assessing the reported damage.,"If the replacement upload materially conflicts with the claim facts, route to MANUAL_REVIEW under evidence validation; do not infer fraud.",1,Yes
FUP-007,Upload accidental-damage photo,MISSING_REQUIRED_EVIDENCE,Required DAMAGE_PHOTO is absent for ACCIDENTAL_DAMAGE under evidence profile EVD-ACCIDENTAL-01.,EVD-001,REQUIRED_EVIDENCE,ACCIDENTAL_DAMAGE,EVD-ACCIDENTAL-01,DAMAGE_PHOTO,FILE_UPLOAD,50,Please upload a clear photo showing the reported physical damage to the device.,The image helps us confirm the visible accidental damage reported in the claim.,"Check for a readable, relevant photo. A repair quote may be considered if supplied but is optional in v1.",1,Yes
FUP-008,Re-upload readable accidental-damage photo,UNREADABLE_OR_INVALID_EVIDENCE,"Submitted DAMAGE_PHOTO for ACCIDENTAL_DAMAGE is marked unreadable, incomplete, or invalid without a material contradiction.",EVD-001,REQUIRED_EVIDENCE,ACCIDENTAL_DAMAGE,EVD-ACCIDENTAL-01,DAMAGE_PHOTO,FILE_UPLOAD,50,"The uploaded image could not be read clearly. Please upload a complete, clear photo showing the reported physical damage.",We need a readable image to continue assessing the reported damage.,"If the replacement upload materially conflicts with the claim facts, route to MANUAL_REVIEW under evidence validation; do not infer fraud.",1,Yes
FUP-009,Upload liquid-damage photo,MISSING_REQUIRED_EVIDENCE,Required DAMAGE_PHOTO is absent for LIQUID_DAMAGE under evidence profile EVD-LIQUID-01.,EVD-001,REQUIRED_EVIDENCE,LIQUID_DAMAGE,EVD-LIQUID-01,DAMAGE_PHOTO,FILE_UPLOAD,50,Please upload a clear photo showing the reported liquid exposure effects or device damage.,The image helps us assess the reported liquid-damage symptoms.,"Check for a readable, relevant photo. A repair quote may be considered if supplied but is optional in v1.",1,Yes
FUP-010,Re-upload readable liquid-damage photo,UNREADABLE_OR_INVALID_EVIDENCE,"Submitted DAMAGE_PHOTO for LIQUID_DAMAGE is marked unreadable, incomplete, or invalid without a material contradiction.",EVD-001,REQUIRED_EVIDENCE,LIQUID_DAMAGE,EVD-LIQUID-01,DAMAGE_PHOTO,FILE_UPLOAD,50,"The uploaded image could not be read clearly. Please upload a complete, clear photo showing the reported liquid exposure effects or device damage.",We need a readable image to continue assessing the reported liquid-damage symptoms.,"If the replacement upload materially conflicts with the claim facts, route to MANUAL_REVIEW under evidence validation; do not infer fraud.",1,Yes
FUP-011,Upload diagnostic report,MISSING_REQUIRED_EVIDENCE,Required DIAGNOSTIC_REPORT is absent for MECHANICAL_BREAKDOWN under evidence profile EVD-MECHANICAL-01.,EVD-001,REQUIRED_EVIDENCE,MECHANICAL_BREAKDOWN,EVD-MECHANICAL-01,DIAGNOSTIC_REPORT,FILE_UPLOAD,50,Please upload a readable diagnostic report or repair-provider assessment describing the reported device malfunction.,The report helps us confirm the reported mechanical issue under normal-use assessment.,Check that the document is readable and describes the reported malfunction. A repair quote may be considered if supplied but is optional in v1.,1,Yes
FUP-012,Re-upload readable diagnostic report,UNREADABLE_OR_INVALID_EVIDENCE,"Submitted DIAGNOSTIC_REPORT is marked unreadable, incomplete, or invalid without a material contradiction.",EVD-001,REQUIRED_EVIDENCE,MECHANICAL_BREAKDOWN,EVD-MECHANICAL-01,DIAGNOSTIC_REPORT,FILE_UPLOAD,50,The uploaded diagnostic report could not be read clearly. Please upload a complete and legible copy describing the reported device malfunction.,We need a readable diagnostic report to continue assessing the reported mechanical issue.,"If the replacement document materially conflicts with the claim facts, route to MANUAL_REVIEW under evidence validation; do not infer fraud.",1,Yes
FUP-013,Provide police-report reference,MISSING_REQUIRED_EVIDENCE,Required POLICE_REPORT_REFERENCE is absent for THEFT under evidence profile EVD-THEFT-01.,EVD-001,REQUIRED_EVIDENCE,THEFT,EVD-THEFT-01,POLICE_REPORT_REFERENCE,TEXT_OR_FILE_UPLOAD,50,Please provide the police-report reference for the reported theft and upload a readable copy if available.,The reference helps us verify the reported theft event.,Check for a readable report reference that identifies the theft event. Do not request this when a verified policy rule already shows theft is not covered.,1,Yes
FUP-014,Re-upload readable police-report reference,UNREADABLE_OR_INVALID_EVIDENCE,"Submitted POLICE_REPORT_REFERENCE is marked unreadable, incomplete, or invalid without a material contradiction.",EVD-001,REQUIRED_EVIDENCE,THEFT,EVD-THEFT-01,POLICE_REPORT_REFERENCE,TEXT_OR_FILE_UPLOAD,50,"The submitted police-report document could not be read clearly. Please provide the report reference again and upload a complete, legible copy if available.",We need a readable report reference to continue assessing the reported theft event.,"If the replacement document materially conflicts with the claim facts, route to MANUAL_REVIEW under evidence validation; do not infer fraud.",1,Yes
